"Agency","Subagency","accountID","Title","Obligation"
"Department of the Interior","Insular Affairs",636,"Compact of Free Association",209253861.2
"Department of the Interior","Insular Affairs",637,"Micronesian Claims Fund",0
"Department of the Interior","Insular Affairs",638,"Payment to the United States Territories, Fiscal Assistance",26090005
"Department of the Interior","Insular Affairs",634,"Assistance to Territories",30904973.89
"Department of the Interior","Office of the Solicitor",630,"Salaries and Expenses",40948838.56
"Department of the Interior","Office of Inspector General",628,"Salaries and Expenses",25974939.39
"Department of the Interior","Office of Inspector General",626,"Salaries and Expenses-Recovery Act",0
"Department of the Interior","Office of the Special Trustee for American Indians",632,"Federal Trust Programs",62548087.89
"Department of the Interior","Office of the Special Trustee for American Indians",796,"Tribal Special Fund",88817704.04
"Department of the Interior","Office of the Special Trustee for American Indians",871,"Tribal Trust Fund",31566881.19
"Department of the Interior","National Indian Gaming Commission",631,"Salaries and Expenses",0
"Department of the Interior","National Indian Gaming Commission",773,"National Indian Gaming Commission",11904440.25
"Department of the Interior","Department-Wide Programs",664,"Payments in Lieu of Taxes",48
"Department of the Interior","Department-Wide Programs",670,"Central Hazardous Materials Fund",3590855.92
"Department of the Interior","Department-Wide Programs",681,"Natural Resource Damage Assessment Fund",3602462.59
"Department of the Interior","Department-Wide Programs",782,"Natural Resource Damage Assessment and Restoration Fund",16863207.69
"Department of the Interior","Department-Wide Programs",671,"Wildland Fire Management",278136796.29
"Department of the Interior","Department-Wide Programs",673,"Flame Wildfire Suppression Reserve Fund",0
"Department of the Interior","Department-Wide Programs",729,"Working Capital Fund",525624066.2
"Department of the Interior","Department-Wide Programs",732,"Interior Franchise Fund",1184633089
"Department of Justice","General Administration",887,"Salaries and Expenses",66714242.92
"Department of Justice","General Administration",960,"Justice Gift Fund",2500
"Department of Justice","General Administration",932,"National Drug Intelligence Center",0
"Department of Justice","General Administration",891,"Justice Information Sharing Technology",24310312.39
"Department of Justice","General Administration",889,"Tactical Law Enforcement Wireless Communications",0
"Department of Justice","General Administration",908,"Administrative Review and Appeals",189421391.38
"Department of Justice","General Administration",892,"Detention Trustee",0
"Department of Justice","General Administration",904,"Office of Inspector General",54451508.46
"Department of Justice","General Administration",935,"Working Capital Fund",788719031.1
"Department of Justice","United States Parole Commission",929,"Salaries and Expenses",6452883.56
"Department of Justice","Legal Activities and U.S. Marshals",886,"Salaries and Expenses",671006570.22
"Department of Justice","Legal Activities and U.S. Marshals",898,"Salaries and Expenses, Antitrust Division",97632841.04
"Department of Justice","Legal Activities and U.S. Marshals",899,"Salaries and Expenses",1097561426.68
"Department of Justice","Legal Activities and U.S. Marshals",883,"Salaries and Expenses",904268.28
"Department of Justice","Legal Activities and U.S. Marshals",884,"Payment of Vietnam and U.S.S. Pueblo Prisoner of War Claims",0
"Department of Justice","Legal Activities and U.S. Marshals",901,"Salaries and Expenses",642109129.74
"Department of Justice","Legal Activities and U.S. Marshals",890,"Construction",5911775.97
"Department of Justice","Legal Activities and U.S. Marshals",927,"Federal Prisoner Detention",697063880.9
"Department of Justice","Legal Activities and U.S. Marshals",897,"Fees and Expenses of Witnesses",125075845.7
"Department of Justice","Legal Activities and U.S. Marshals",921,"Salaries and Expenses",5191487.75
"Department of Justice","Legal Activities and U.S. Marshals",909,"September th Victim Compensation",695726.96
"Department of Justice","Legal Activities and U.S. Marshals",894,"Victims Compensation Fund",472040033
"Department of Justice","Legal Activities and U.S. Marshals",944,"United States Victims of State Sponsored Terrorism Fund",932000000
"Department of Justice","Legal Activities and U.S. Marshals",939,"United States Trustee System Fund",109074831.3
"Department of Justice","Legal Activities and U.S. Marshals",938,"Assets Forfeiture Fund",679283139.3
"Department of Justice","Legal Activities and U.S. Marshals",936,"Justice Prisoner and Alien Transportation System Fund",37955669.42
"Department of Justice","National Security Division",933,"Salaries and Expenses",48307663.24
"Department of Justice","Radiation Exposure Compensation",906,"Payment to the Radiation Exposure Compensation Trust Fund",65000000
"Department of Justice","Radiation Exposure Compensation",959,"Radiation Exposure Compensation Trust Fund",29157095.74
"Department of Justice","Interagency Law Enforcement",900,"Interagency Crime and Drug Enforcement",317366808.43
"Department of Justice","Federal Bureau of Investigation",895,"Salaries and Expenses",4335270879.28
"Department of Justice","Federal Bureau of Investigation",896,"Construction",106107208.6
"Department of Justice","Drug Enforcement Administration",930,"Salaries and Expenses",1226250804.68
"Department of Justice","Drug Enforcement Administration",931,"Construction",0
"Department of Justice","Drug Enforcement Administration",941,"Diversion Control Fee Account",165663757.2
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms, and Explosives",923,"Salaries and Expenses",643308099.21
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms, and Explosives",924,"Construction",0
"Department of Justice","Federal Prison System",928,"Salaries and Expenses",3529684636.13
"Department of Justice","Federal Prison System",925,"Buildings and Facilities",20915393.8
"Department of Justice","Federal Prison System",934,"Prison Industries Fund",245684081.8
"Department of Justice","Federal Prison System",962,"Commissary Funds",172459715.5
"Department of Justice","Office of Justice Programs",910,"Research, Evaluation, and Statistics",75891491.16
"Department of Justice","Office of Justice Programs",919,"Salaries and Expenses",0
"Department of Justice","Office of Justice Programs",913,"State and Local Law Enforcement Assistance",59892371.62
"Department of Justice","Office of Justice Programs",907,"Weed and Seed Program Fund",0
"Department of Justice","Office of Justice Programs",915,"Community Oriented Policing Services",20493910.01
"Department of Justice","Office of Justice Programs",968,"Office of Justice Programs",0
"Department of Justice","Office of Justice Programs",916,"Violence Against Women Prevention and Prosecution Programs",12861304.65
"Department of Justice","Office of Justice Programs",914,"Juvenile Justice Programs",12836453.48
"Department of Justice","Office of Justice Programs",912,"Public Safety Officers Benefits",44450381.14
"Department of Justice","Office of Justice Programs",937,"Crime Victims Fund",59106175.15
"Department of Justice","Office of Justice Programs",961,"Gifts, Crime Victims Fund",0
"Department of Justice","Office of Justice Programs",943,"Domestic Trafficking Victims' Fund",223069
"Department of Labor","Employment and Training Administration",993,"Training and Employment Service",1769311827.72
"Department of Labor","Employment and Training Administration",1019,"Salaries and Expenses, H-B Funded, Training and Employment Services",125438911.8
"Department of Labor","Employment and Training Administration",1001,"Interior",1257077.89
"Department of Labor","Employment and Training Administration",998,"Office of Job Corps",449783444.09
"Department of Labor","Employment and Training Administration",999,"Office of Job Corps - Recovery Act",0
"Department of Labor","Employment and Training Administration",994,"Community Service Employment for Older Americans",170471889.28
"Department of Labor","Employment and Training Administration",1003,"TAA Community College and Career Training Grant Fund",0
"Department of Labor","Employment and Training Administration",1005,"Federal Unemployment Benefits and Allowances",182256396.23
"Department of Labor","Employment and Training Administration",997,"State Unemployment Insurance and Employment Service Operations",1674824381.4
"Department of Labor","Employment and Training Administration",1018,"Salaries and Expenses, H-B Funded, State Unemployment Insurance and Employment Operations",7556798.56
"Department of Labor","Employment and Training Administration",996,"Payments to the Unemployment Trust Fund",6517000
"Department of Labor","Employment and Training Administration",989,"Short Time Compensation Programs",0
"Department of Labor","Employment and Training Administration",1006,"Advances to the Unemployment Trust Fund and Other Funds",0
"Department of Labor","Employment and Training Administration",1013,"Federal Additional Unemployment Compensation Program - Recovery Act",0
"Department of Labor","Employment and Training Administration",1014,"Federal Unemployment Compensation Program",1753097.66
"Department of Labor","Employment and Training Administration",992,"Program Administration",72318774.82
"Department of Labor","Employment and Training Administration",1027,"Unemployment Trust Fund - Treasury Managed",18646136672
"Department of Labor","Employee Benefits Security Administration",1012,"Salaries and Expenses",85167623.81
"Department of Labor","Pension Benefit Guaranty Corporation",1015,"Pension Benefit Guaranty Corporation",3097693307
"Department of Labor","Office of Workers' Compensation Programs",984,"Salaries and Expenses",75126835.78
"Department of Labor","Office of Workers' Compensation Programs",1009,"Special Benefits",1529469113
"Department of Labor","Office of Workers' Compensation Programs",1010,"Energy Employees Occupational Illness Compensation Fund",628651272.7
"Department of Labor","Office of Workers' Compensation Programs",1011,"Administrative Expenses",60771344.99
"Department of Labor","Office of Workers' Compensation Programs",990,"Special Benefits for Disabled Coal Miners",45354497.75
"Department of Labor","Office of Workers' Compensation Programs",1020,"Panama Canal Commission Compensation Fund",4496967.03
"Department of Labor","Office of Workers' Compensation Programs",1031,"Black Lung Disability Trust Fund - Treasury Managed",125306091.2
"Department of Labor","Office of Workers' Compensation Programs",1028,"Relief and Rehabilitation",53604102.78
"Department of Labor","Office of Workers' Compensation Programs",1030,"Relief and Rehabilitation, Workmen's Compensation Act, within the District of Columbia",3764360.96
"Department of Labor","Wage and Hour Division",980,"Salaries and Expenses",113182751.92
"Department of Labor","Wage and Hour Division",979,"Wage and Hour Division H-B",0
"Department of Labor","Wage and Hour Division",1021,"H-B and L Fraud Protection and Detection Account",25079497.56
"Department of Labor","Office of Federal Contract Compliance Programs",981,"Salaries and Expenses",42219118.38
"Department of Labor","Office of Labor Management Standards",982,"Salaries and Expenses",20360375.54
"Department of Labor","Occupational Safety and Health Administration",1007,"Salaries and Expenses",281532039.44
"Department of Labor","Mine Safety and Health Administration",1008,"Salaries and Expenses",179013393.95
"Department of Labor","Bureau of Labor Statistics",1004,"Salaries and Expenses",299095133.12
"Department of Labor","Departmental Management",986,"Salaries and Expenses",193354407.67
"Department of Labor","Departmental Management",1029,"Gifts and Bequests",0
"Department of Labor","Departmental Management",987,"Salaries and Expenses",7149988.22
"Department of Labor","Departmental Management",977,"Office of the Inspector General",39985338.32
"Department of Labor","Departmental Management",978,"Office of Inspector General - Recovery Act",0
"Department of Labor","Departmental Management",985,"Veterans Employment and Training",141694342.84
"Department of Labor","Departmental Management",983,"IT Modernization",3757891.79
"Department of Labor","Departmental Management",1017,"Working Capital Fund",169986560.2
"Department of State","Administration of Foreign Affairs",1148,"H-B and L Fraud Prevention and Detection Account",5833833.59
"Department of State","Administration of Foreign Affairs",1099,"Diplomatic and Consular Programs",5229839170.03
"Department of State","Administration of Foreign Affairs",1097,"Salaries and Expenses",0
"Department of State","Administration of Foreign Affairs",1102,"International Information Programs",0
"Department of State","Administration of Foreign Affairs",1101,"Conflict Stabilization Operations",3326527.43
"Department of State","Administration of Foreign Affairs",1100,"Capital Investment Fund",28828.97
"Department of State","Administration of Foreign Affairs",1108,"Centralized Information Technology Modernization Program",0
"Department of State","Administration of Foreign Affairs",1114,"Office of the Inspector General",71287350.65
"Department of State","Administration of Foreign Affairs",1105,"Educational and Cultural Exchange Programs",141421446.12
"Department of State","Administration of Foreign Affairs",1116,"Embassy Security, Construction, and Maintenance",2021748455
"Department of State","Administration of Foreign Affairs",1119,"Representation Allowances",3580383.2
"Department of State","Administration of Foreign Affairs",1109,"Protection of Foreign Missions and Officials",849546.86
"Department of State","Administration of Foreign Affairs",1110,"Emergencies in the Diplomatic and Consular Service",6380895.51
"Department of State","Administration of Foreign Affairs",1112,"Buying Power Maintenance Account",0
"Department of State","Administration of Foreign Affairs",1111,"Payment to the American Institute in Taiwan",17172222.14
"Department of State","Administration of Foreign Affairs",1118,"Payment to the Foreign Service Retirement and Disability Fund",91164019
"Department of State","Administration of Foreign Affairs",1147,"Foreign Service National Defined Contributions Retirement Fund",7895139.13
"Department of State","Administration of Foreign Affairs",1142,"Working Capital Fund",2168075778.4
"Department of State","Administration of Foreign Affairs",1121,"Repatriation Loans",745835
"Department of State","Administration of Foreign Affairs",1120,"Repatriation Loans, Liquidating Account",0
"Department of State","Administration of Foreign Affairs",1169,"Foreign Service Retirement and Disability Fund",477042750
"Department of State","Administration of Foreign Affairs",1172,"Foreign Service National Separation Liability Trust Fund",11860200.21
"Department of State","Administration of Foreign Affairs",1174,"Unconditional Gift Fund",4159566.39
"Department of State","Administration of Foreign Affairs",1175,"Conditional Gift Fund, General",589716.46
"Department of State","Administration of Foreign Affairs",1168,"Trust Funds",0
"Department of State","International Organizations and Conferences",1135,"Contributions to International Organizations",1037277951
"Department of State","International Organizations and Conferences",1133,"Contributions for International Peacekeeping Activities",108499426
"Department of State","International Organizations and Conferences",1134,"International Conferences and Contingencies",0
"Department of State","International Organizations and Conferences",1136,"Arrearage Payments",0
"Department of State","International Commissions",1126,"Salaries and Expenses",27594144.02
"Department of State","International Commissions",1127,"Construction, International Boundary and Water Commission, United States and Mexico",17427772.42
"Department of State","International Commissions",1129,"American Sections",5646306.85
"Department of State","International Commissions",1130,"International Fisheries Commissions",13765319.8
"Department of State","Other",1124,"Global HIV/AIDS Initiative",714418.91
"Department of State","Other",1125,"Global Health Programs",3432454947.95
"Department of State","Other",1137,"Migration and Refugee Assistance",1255117767
"Department of State","Other",1140,"Center for Eastern-Western Dialogue Trust Fund",0
"Department of State","Other",181,"United States Emergency Refugee and Migration Assistance Fund",5815.93
"Department of State","Other",2233,"Complex Crises Fund",8798432.35
"Department of State","Other",213,"International Narcotics Control and Law Enforcement",276466903.52
"Department of State","Other",1139,"Andean Counterdrug Programs",538.12
"Department of State","Other",1132,"Democracy Fund",43110951.36
"Department of State","Other",1113,"Payment to the Asia Foundation",9753302.6
"Department of State","Other",1106,"National Endowment for Democracy",97532305
"Department of State","Other",1103,"East-West Center",5030000
"Department of State","Other",1104,"North/South Center",0
"Department of State","Other",1146,"International Litigation Fund",1385315.5
"Department of State","Other",1145,"International Center, Washington, D. C.",553221.62
"Department of State","Other",1138,"United States Bilateral Science and Technology Agreements",0
"Department of State","Other",1143,"Fisherman's Protective Fund",0
"Department of State","Other",1144,"Fishermen's Guaranty Fund",0
"Department of State","Other",1171,"Eastern Europe Student Exchange Endowment Fund",0
"Department of State","Other",1170,"Israeli Arab Scholarship Program",0
"Department of State","Other",1167,"American Studies Endowment Fund",0
"Department of State","Other",1107,"Russian Far East Technical Assistance Center",0
"Department of State","Other",1173,"Center for Middle Eastern-Western Dialogue Trust Fund",0
"Department of Transportation","Office of the Secretary",1940,"Research and Technology",9930997.58
"Department of Transportation","Office of the Secretary",1789,"Salaries and Expenses",51121784.29
"Department of Transportation","Office of the Secretary",2050,"Gifts and Bequests",0
"Department of Transportation","Office of the Secretary",1795,"Rental Payments",0
"Department of Transportation","Office of the Secretary",1813,"National Surface Transportation and Innovative Finance Bureau",0
"Department of Transportation","Office of the Secretary",1807,"National Infrastructure Investments",110303376.87
"Department of Transportation","Office of the Secretary",1974,"Working Capital Fund",211969392.3
"Department of Transportation","Office of the Secretary",1794,"Financial Management Capital",2217000
"Department of Transportation","Office of the Secretary",1812,"Cyber Security Initiatives",1830041.43
"Department of Transportation","Office of the Secretary",1796,"Office of Civil Rights",3958450.85
"Department of Transportation","Office of the Secretary",1797,"Minority Business Outreach",1871549.79
"Department of Transportation","Office of the Secretary",1808,"New Headquarters Building",61501.16
"Department of Transportation","Office of the Secretary",1809,"Activities Transferred from Civil Aeronautics Board",0
"Department of Transportation","Office of the Secretary",1811,"Compensation for General Aviation Operations",0
"Department of Transportation","Office of the Secretary",1806,"Transportation Planning",2933275.37
"Department of Transportation","Office of the Secretary",1791,"Transportation Research Activities Overseas",0
"Department of Transportation","Office of the Secretary",1979,"Essential Air Service and Rural Airport Improvement Fund",77328889.2
"Department of Transportation","Office of the Secretary",1973,"Working Capital Fund",193451761.7
"Department of Transportation","Office of the Secretary",1810,"Minority Business Resource Center Program",100272.52
"Department of Transportation","Office of the Secretary",2029,"Payment to Air Carriers",111894037
"Department of Transportation","Federal Aviation Administration",1928,"Operations",4638575255.68
"Department of Transportation","Federal Aviation Administration",1929,"Facilities, Engineering and Development",0
"Department of Transportation","Federal Aviation Administration",1978,"Aviation User Fees",12.12
"Department of Transportation","Federal Aviation Administration",1954,"Aviation Insurance Revolving Fund",273930
"Department of Transportation","Federal Aviation Administration",1975,"Administrative Services Franchise Fund",246495662.1
"Department of Transportation","Federal Aviation Administration",2017,"Airport and Airway Trust Fund - Treasury Managed",14271
"Department of Transportation","Federal Aviation Administration",2019,"Grants-In-Aid for Airports",82153525.48
"Department of Transportation","Federal Aviation Administration",2020,"Facilities and Equipment",1121901963.02
"Department of Transportation","Federal Aviation Administration",2021,"Research, Engineering and Development, Airport and Airway Trust Fund",46883513.18
"Department of Transportation","Federal Aviation Administration",2018,"Operations, Airport and Airway Trust Fund",4545005471
"Department of Transportation","Federal Highway Administration",1866,"Des Moines Inner Loop Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1823,"Denali Access System Program",0
"Department of Transportation","Federal Highway Administration",1877,"Miscellaneous Highway Project",0
"Department of Transportation","Federal Highway Administration",1879,"Miscellaneous Massachusetts Projects",0
"Department of Transportation","Federal Highway Administration",1878,"Arkansas I- Connector",0
"Department of Transportation","Federal Highway Administration",1860,"Urban Highway Corridor and Bicycle Project",0
"Department of Transportation","Federal Highway Administration",1820,"Surface Transportation Projects",0
"Department of Transportation","Federal Highway Administration",1817,"Off-System Roads",0
"Department of Transportation","Federal Highway Administration",1818,"Access Highways to Public Recreation Areas on Certain Lakes",0
"Department of Transportation","Federal Highway Administration",1821,"Inter-American Highway",0
"Department of Transportation","Federal Highway Administration",1822,"Bikeway Program",0
"Department of Transportation","Federal Highway Administration",1824,"Bridge Improvement Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1825,"Highway Bypass Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1826,"Highway Widening and Improvement Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1830,"Public Lands Highways",0
"Department of Transportation","Federal Highway Administration",1832,"Highway Safety Improvement Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1833,"Pennsylvania Reconstruction Demonstration Project",215840.68
"Department of Transportation","Federal Highway Administration",1834,"Highway Studies Feasibility, Design, Environmental, Engineering",0
"Department of Transportation","Federal Highway Administration",1836,"Alaska Highways",0
"Department of Transportation","Federal Highway Administration",1838,"Highway Beautification",0
"Department of Transportation","Federal Highway Administration",1843,"Delta Regional Transportation Development Program",0
"Department of Transportation","Federal Highway Administration",1844,"Darien Gap Highway",0
"Department of Transportation","Federal Highway Administration",1845,"Rail Crossings Demonstration Projects",0
"Department of Transportation","Federal Highway Administration",1846,"Territorial Highways",0
"Department of Transportation","Federal Highway Administration",1847,"Railroad-Highway Crossings Demonstration Projects",0
"Department of Transportation","Federal Highway Administration",1848,"Interstate Transfer Grants-Highways",0
"Department of Transportation","Federal Highway Administration",1849,"Highway Widening Demonstration",0
"Department of Transportation","Federal Highway Administration",1850,"Intersection Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1851,"Highway Capacity Improvement Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1852,"Climbing Lane and Highway Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1853,"Indiana Industrial Corridor Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1854,"Corridor H Improvement Project",0
"Department of Transportation","Federal Highway Administration",1855,"Road Extension Demonstration",0
"Department of Transportation","Federal Highway Administration",1856,"Oklahoma Highway Widening Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1857,"Alabama Highway Bypass Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1858,"Kentucky Bridge Project",0
"Department of Transportation","Federal Highway Administration",1859,"Virginia HOV Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1861,"Urban Airport Access Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1862,"Expressway Safety Improvement Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1863,"Alabama Feasibility Study",0
"Department of Transportation","Federal Highway Administration",1864,"Ebensburg Bypass Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1865,"Highway Demonstration Projects",0
"Department of Transportation","Federal Highway Administration",1867,"Corridor G Improvement Project",0
"Department of Transportation","Federal Highway Administration",1868,"Corning Bypass Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1869,"Spring Mountain Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1870,"Ottumwa Road Extension Project",0
"Department of Transportation","Federal Highway Administration",1871,"Turquoise Trail Project",0
"Department of Transportation","Federal Highway Administration",1872,"Highway  Realignment Project",0
"Department of Transportation","Federal Highway Administration",1873,"Ramp Relocation and Reconstruction Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1874,"Corridor D Improvement Project",0
"Department of Transportation","Federal Highway Administration",1875,"Highway Demonstration Projects",0
"Department of Transportation","Federal Highway Administration",1827,"Appalachian Corridor Improvement Project",0
"Department of Transportation","Federal Highway Administration",1828,"Congestion Mitigation",0
"Department of Transportation","Federal Highway Administration",1829,"Cross Westchester Expressway",0
"Department of Transportation","Federal Highway Administration",1831,"Schenectady Bridge",0
"Department of Transportation","Federal Highway Administration",1881,"Woodrow Wilson Memorial Bridge",0
"Department of Transportation","Federal Highway Administration",1837,"Surface Transportation Priorities",10886495.23
"Department of Transportation","Federal Highway Administration",1816,"Emergency Relief Program",110647282.55
"Department of Transportation","Federal Highway Administration",1842,"I-W Bridge Repair and Reconstruction",317645.52
"Department of Transportation","Federal Highway Administration",1876,"Appalachian Development System",1381
"Department of Transportation","Federal Highway Administration",1880,"Alabama and West Virginia Highway Projects",0
"Department of Transportation","Federal Highway Administration",1841,"State Infrastructure Banks",0
"Department of Transportation","Federal Highway Administration",1819,"Forest Service",0
"Department of Transportation","Federal Highway Administration",1835,"Payment to the Highway Trust Fund",0
"Department of Transportation","Federal Highway Administration",1839,"TIFIA General Fund Program Account",0
"Department of Transportation","Federal Highway Administration",2046,"Right-of-Way Revolving Fund, Liquidation of Contract Authorization, Trust Fund",0
"Department of Transportation","Federal Highway Administration",2016,"Highway Trust Fund - Treasury Managed",1769207
"Department of Transportation","Federal Highway Administration",2014,"Federal-Aid Highways",13149433180.96
"Department of Transportation","Federal Highway Administration",1840,"Highway Infrastructure Programs",0
"Department of Transportation","Federal Highway Administration",2010,"Appalachian Development Highway System",0
"Department of Transportation","Federal Highway Administration",2047,"Technical Assistance",0
"Department of Transportation","Federal Highway Administration",2005,"Advances from State Cooperating Agencies",12517033.21
"Department of Transportation","Federal Highway Administration",2027,"Contributions for Highway Research Program",101214.22
"Department of Transportation","Federal Highway Administration",2028,"Cooperative Work",0
"Department of Transportation","Federal Highway Administration",2035,"International Highway Transportation Outreach Program",0
"Department of Transportation","Federal Highway Administration",2052,"Equipment, Supplies, Etc., for Cooperating Countries",0
"Department of Transportation","Federal Highway Administration",2040,"Urban Highway Corridor and Bicycle Transportation Demonstration Projects",0
"Department of Transportation","Federal Highway Administration",2034,"Highway Demonstration Projects",0
"Department of Transportation","Federal Highway Administration",1992,"Intermodal Urban Demonstration Project",0
"Department of Transportation","Federal Highway Administration",1993,"Carpool and Vanpool Projects",0
"Department of Transportation","Federal Highway Administration",1995,"Trust Fund Share of Other Highway Programs",0
"Department of Transportation","Federal Highway Administration",1996,"Baltimore-Washington Parkway Trust Fund",0
"Department of Transportation","Federal Highway Administration",1998,"Highway Safety Research and Development",0
"Department of Transportation","Federal Highway Administration",2004,"Vehicular and Pedestrian Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2007,"Bridge Capacity Improvement",0
"Department of Transportation","Federal Highway Administration",2011,"Highway Safety and Economic Development Projects",0
"Department of Transportation","Federal Highway Administration",2009,"Construction and Improvements to Halls Mills Road, New Jersey",0
"Department of Transportation","Federal Highway Administration",2012,"Highway-Railroad Grade Crossing Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2013,"Nuclear Waste Transportation Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2015,"Highway Safety Improvement Demonstration Projects",0
"Department of Transportation","Federal Highway Administration",2022,"Corridor Safety Improvement Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2008,"Miscellaneous Highway Project",2465796.78
"Department of Transportation","Federal Highway Administration",2036,"Climbing Lane and Highway Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2037,"Alabama Highway Bypass Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2038,"Kentucky Bridge Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2039,"Virginia HOV Safety Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2041,"Pennsylvania Toll Road Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2042,"Pennsylvania Reconstruction Demonstration Project",0
"Department of Transportation","Federal Highway Administration",2043,"Highway Projects",360.55
"Department of Transportation","Federal Highway Administration",2045,"Metropolitan Planning Trust Fund",0
"Department of Transportation","Federal Highway Administration",2044,"Mineola Grade Crossing",0
"Department of Transportation","Federal Highway Administration",2002,"Study of Improvements to Highway  in Wisconsin",0
"Department of Transportation","Federal Motor Carrier Safety Administration",2006,"Motor Carrier Safety",0
"Department of Transportation","Federal Motor Carrier Safety Administration",2003,"National Motor Carrier Safety Program",0
"Department of Transportation","Federal Motor Carrier Safety Administration",2024,"Motor Carrier Safety Grants",77291653.01
"Department of Transportation","Federal Motor Carrier Safety Administration",2025,"Motor Carrier Safety Operations and Programs",127394683.8
"Department of Transportation","National Highway Traffic Safety Administration",1885,"Consumer Assistance to Recycle and Save Program",0
"Department of Transportation","National Highway Traffic Safety Administration",1882,"Operations and Research",39810519.16
"Department of Transportation","National Highway Traffic Safety Administration",1883,"State and Community Highway Safety",0
"Department of Transportation","National Highway Traffic Safety Administration",1886,"National Driver Register Modernization",0
"Department of Transportation","National Highway Traffic Safety Administration",1887,"Next Generation  Implementation Grants",0
"Department of Transportation","National Highway Traffic Safety Administration",1997,"Operation and Research, Liquidation of Contract Authorization, Limitation on Obligations",52665066.91
"Department of Transportation","National Highway Traffic Safety Administration",2033,"National Driver Register",0
"Department of Transportation","National Highway Traffic Safety Administration",2000,"Highway Traffic Safety Grants, Liquidation of Contract Authorization, Trust Fund",254490492.2
"Department of Transportation","Federal Railroad Administration",1888,"Safety and Operations",88331738.12
"Department of Transportation","Federal Railroad Administration",1800,"Rail Service Assistance",0
"Department of Transportation","Federal Railroad Administration",1893,"Rail Labor Assistance",0
"Department of Transportation","Federal Railroad Administration",1894,"Local Rail Freight Assistance",0
"Department of Transportation","Federal Railroad Administration",1890,"Railroad Safety",729537
"Department of Transportation","Federal Railroad Administration",1904,"Railroad Research and Development",6529952.18
"Department of Transportation","Federal Railroad Administration",1891,"Railroad Research",0
"Department of Transportation","Federal Railroad Administration",1900,"Pennsylvania Station Redevelopment Project",0
"Department of Transportation","Federal Railroad Administration",1903,"Alaska Railroad Rehabilitation",0
"Department of Transportation","Federal Railroad Administration",1892,"Grants to the National Railroad Passenger Corporation",0
"Department of Transportation","Federal Railroad Administration",1901,"Capital Grants to the National Railroad Passenger Corporation - Recovery Act",0
"Department of Transportation","Federal Railroad Administration",1799,"Operating Grants to the National Railroad Passenger Corporation",0
"Department of Transportation","Federal Railroad Administration",1803,"Capital and Debt Service Grants to the National Railroad Passenger Corporation",6423440.24
"Department of Transportation","Federal Railroad Administration",1951,"National Network Grants to the National Railroad Passenger Corporation",660754999.7
"Department of Transportation","Federal Railroad Administration",1950,"Northeast Corridor Grants to the National Railroad Passenger Corporation",131665905
"Department of Transportation","Federal Railroad Administration",1802,"Railroad Rehabilitation and Repair",0
"Department of Transportation","Federal Railroad Administration",1798,"Efficiency Incentive Grants to the National Railroad Passenger Corporation",0
"Department of Transportation","Federal Railroad Administration",1895,"Passenger Rail Service",80875
"Department of Transportation","Federal Railroad Administration",1898,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service",1209999.4
"Department of Transportation","Federal Railroad Administration",1897,"Capital Assistance for High Speed Rail Corridors and Intercity Passenger Rail Service - Recovery Act",0
"Department of Transportation","Federal Railroad Administration",1899,"Next Generation High Speed Rail",0
"Department of Transportation","Federal Railroad Administration",2051,"High-Speed Ground Transportation",0
"Department of Transportation","Federal Railroad Administration",1801,"Northeast Corridor Improvement Program",0
"Department of Transportation","Federal Railroad Administration",1902,"Rhode Island Rail Development",0
"Department of Transportation","Federal Railroad Administration",1907,"West Virginia Rail Development",0
"Department of Transportation","Federal Railroad Administration",1896,"Rail Line Relocation and Improvement Program",0
